Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8;Resultado
1;1;-3;1;-2;0;1;0;0
-2;0;0;0;1;0;0;-2;0
0;0;-1;0;-1;0;-1;1;0
1;-1;-1;0;-1;-2;-1;-1;0
-1;-1;1;-1;-1;-1;0;-2;0
0;0;-1;0;0;-1;0;-1;0
-1;0;-1;0;0;-2;1;-1;0
-2;0;1;-3;1;-2;0;-1;0
1;-1;0;-2;0;-1;0;-1;0
-1;-1;-2;-3;-1;-1;-3;-2;0
0;-2;0;-2;-1;0;-1;-1;0
-2;-2;0;-2;0;-1;-2;1;0
0;-2;1;1;2;-1;-1;0;0
0;0;1;-1;-2;0;-2;-2;0
0;-1;2;-1;-1;0;0;-1;0
0;0;-2;1;-1;-2;-1;0;0
-2;-2;-2;-1;-1;0;0;-2;0
-1;-2;1;0;-2;-3;-2;-2;0
1;-1;1;-1;-1;-1;-1;-1;0
-1;-1;-2;-1;-1;-1;-1;2;0
0;-2;-3;-1;-1;1;-2;0;0
0;1;-1;0;-2;1;0;-2;0
1;0;1;-1;-1;-2;0;-1;0
0;-1;2;-1;-1;-2;0;-1;0
1;-1;-1;-1;-1;0;0;-2;0
-1;0;1;-2;-2;-1;-1;-2;0
0;-2;0;0;0;-1;1;-2;0
-1;-1;0;-2;0;-1;-1;-3;0
-2;-1;0;-2;1;-2;0;1;0
-1;-1;2;0;1;-1;-2;-2;0
0;0;-2;-1;-1;-1;0;1;0
0;2;-4;2;1;2;1;0;0
0;-1;-2;-1;1;0;-1;-1;0
-1;-2;2;-3;-1;-2;-2;0;0
0;-2;-1;-1;-3;-1;-2;-1;0
0;-1;1;-2;-2;0;0;0;0
-1;-2;-1;-1;-1;0;0;0;0
0;-3;-1;-2;-1;1;-2;1;0
0;-1;0;-1;-1;0;0;-2;0
1;1;-2;1;-2;-2;-1;-1;0
-1;0;0;1;-2;-2;-1;-1;0
-1;-1;1;-1;0;0;-2;0;0
-1;0;0;1;-1;-1;1;0;0
-1;1;1;-1;-1;1;-2;-1;0
0;-1;-2;-1;-1;-1;-1;0;0
-1;-1;0;-2;1;-1;-1;0;0
0;-2;0;0;0;0;2;-2;0
0;-2;-1;-1;0;-1;-2;0;0
-1;-1;-1;-1;0;2;-2;-1;0
-1;-1;0;-1;0;0;-1;-1;0
0;-2;-1;0;-2;0;0;-1;0
-2;1;-1;0;0;-2;-3;0;0
-1;0;-1;-1;0;1;0;-1;0
-1;-2;0;-1;1;-1;-1;0;0
-2;-1;-3;-1;1;0;-1;-1;0
-1;-1;-2;-2;1;0;-1;-2;0
-3;-1;2;-2;-2;-2;-1;-2;0
-2;-1;0;-1;-2;0;-2;3;0
1;2;-3;0;0;1;-1;-1;0
-1;-2;-2;-1;0;-2;0;0;0
1;0;1;1;1;1;1;-2;0
-1;-1;-1;0;-3;-2;0;-1;0
-2;-1;1;-1;-1;0;-2;-1;0
-1;-1;-2;-2;-1;-3;-1;1;0
1;0;-3;-2;0;1;0;-1;0
-1;-2;1;-3;-3;-3;-4;-2;0
0;-2;-1;-1;-3;-1;-1;-1;0
1;2;1;1;-1;2;0;0;0
-1;-1;0;-3;1;0;-1;-1;0
-1;1;0;-2;1;1;1;-2;0
0;-1;-3;-1;-2;-1;-1;-2;0
-1;2;0;4;-1;-2;-3;-1;0
-2;-3;-1;-2;-1;-1;-2;-1;0
-1;2;5;1;-1;0;0;-2;0
-2;-5;4;1;-3;-2;-1;0;0
1;-3;-4;0;0;1;1;0;0
-2;-2;-8;-13;-2;-4;0;-3;0
-3;-6;0;-5;-1;-2;0;-1;0
1;-2;4;-1;0;0;-1;-1;0
-3;-3;2;-6;-4;-2;-2;1;0
-6;-6;5;-4;-1;1;1;-2;0
2;6;12;0;2;4;1;1;0
1;1;19;15;10;-11;-7;-1;0
1;6;-6;8;-2;0;1;2;0
8;17;-6;29;12;10;4;4;1
-6;-6;12;28;2;1;2;-1;1
10;17;-4;24;7;5;3;5;1
-8;-22;-12;-41;-5;7;-1;-2;1
3;9;3;-1;-3;-11;-12;-1;1
5;5;-6;2;-3;-5;-2;2;1
-3;-2;21;-12;-8;-13;-9;-7;1
0;0;17;-22;-26;-6;-3;-1;1
